mot_commun,ld,nom,homonymes
FONTAINE, ,RUE DE LA FONTAINE (44146_0095),RUE DE LA FONTAINE (44200_0100)
LIBERATI, ,RTE DE LA LIBERATION (44146_0184),RUE DE LA LIBERATION (44200_0160)
STADE, ,RUE DU STADE (44146_0347),RUE DU STADE (44200_0280)
CHENAIE,0,LA CHENAIE (44146_B584),LA CHENAIE (44200_B127)
ETOILE,0,LA BELLE ETOILE (44146_B065),LA BELLE ETOILE (44200_B026)
MINIERE,0,LA MINIERE (44146_C515),LA MINIERE (44200_B456)
MOTTE,0,LA MOTTE (44146_C528),LA MOTTE (44200_B464)
NOE,0,LA NOE (44146_C543),LA NOE (44200_B466)
ROCHER,0,LE ROCHER (44146_D243),LE ROCHER (44200_B667)
TERTRE,0,LE TERTRE (44146_D311),LE TERTRE (44200_B684)
